Id,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Less than high school graduate:,Margin of Error; Less than high school graduate:,Estimate; Less than high school graduate: - In labor force:,Margin of Error; Less than high school graduate: - In labor force:,Estimate; Less than high school graduate: - In labor force: - In Armed Forces,Margin of Error; Less than high school graduate: - In labor force: - In Armed Forces,Estimate; Less than high school graduate: - In labor force: - Civilian:,Margin of Error; Less than high school graduate: - In labor force: - Civilian:,Estimate; Less than high school graduate: - In labor force: - Civilian: - Employed,Margin of Error; Less than high school graduate: - In labor force: - Civilian: - Employed,Estimate; Less than high school graduate: - In labor force: - Civilian: - Unemployed,Margin of Error; Less than high school graduate: - In labor force: - Civilian: - Unemployed,Estimate; Less than high school graduate: - Not in labor force,Margin of Error; Less than high school graduate: - Not in labor force,Estimate; High school graduate:,Margin of Error; High school graduate:,Estimate; High school graduate: - In labor force:,Margin of Error; High school graduate: - In labor force:,Estimate; High school graduate: - In labor force: - In Armed Forces,Margin of Error; High school graduate: - In labor force: - In Armed Forces,Estimate; High school graduate: - In labor force: - Civilian:,Margin of Error; High school graduate: - In labor force: - Civilian:,Estimate; High school graduate: - In labor force: - Civilian: - Employed,Margin of Error; High school graduate: - In labor force: - Civilian: - Employed,Estimate; High school graduate: - In labor force: - Civilian: - Unemployed,Margin of Error; High school graduate: - In labor force: - Civilian: - Unemployed,Estimate; High school graduate: - Not in labor force,Margin of Error; High school graduate: - Not in labor force,Estimate; Some college or associate's degree:,Margin of Error; Some college or associate's degree:,Estimate; Some college or associate's degree: - In labor force:,Margin of Error; Some college or associate's degree: - In labor force:,Estimate; Some college or associate's degree: - In labor force: - In Armed Forces,Margin of Error; Some college or associate's degree: - In labor force: - In Armed Forces,Estimate; Some college or associate's degree: - In labor force: - Civilian:,Margin of Error; Some college or associate's degree: - In labor force: - Civilian:,Estimate; Some college or associate's degree: - In labor force: - Civilian: - Employed,Margin of Error; Some college or associate's degree: - In labor force: - Civilian: - Employed,Estimate; Some college or associate's degree: - In labor force: - Civilian: - Unemployed,Margin of Error; Some college or associate's degree: - In labor force: - Civilian: - Unemployed,Estimate; Some college or associate's degree: - Not in labor force,Margin of Error; Some college or associate's degree: - Not in labor force,Estimate; Bachelor's degree or higher:,Margin of Error; Bachelor's degree or higher:,Estimate; Bachelor's degree or higher: - In labor force:,Margin of Error; Bachelor's degree or higher: - In labor force:,Estimate; Bachelor's degree or higher: - In labor force: - In Armed Forces,Margin of Error; Bachelor's degree or higher: - In labor force: - In Armed Forces,Estimate; Bachelor's degree or higher: - In labor force: - Civilian:,Margin of Error; Bachelor's degree or higher: - In labor force: - Civilian:,Estimate; Bachelor's degree or higher: - In labor force: - Civilian: - Employed,Margin of Error; Bachelor's degree or higher: - In labor force: - Civilian: - Employed,Estimate; Bachelor's degree or higher: - In labor force: - Civilian: - Unemployed,Margin of Error; Bachelor's degree or higher: - In labor force: - Civilian: - Unemployed,Estimate; Bachelor's degree or higher: - Not in labor force,Margin of Error; Bachelor's degree or higher: - Not in labor force
29100,"La Crosse, WI-MN Metro Area",67151,664,2114,654,1202,471,0,184,1202,471,1084,412,118,130,912,477,18372,2150,14418,1762,0,184,14418,1762,13648,1700,770,412,3954,853,26257,2147,22284,1978,53,92,22231,1978,21572,1893,659,338,3973,784,20408,1745,17955,1585,0,184,17955,1585,17592,1565,363,286,2453,659
29140,"Lafayette, IN Metro Area",94481,1352,8844,1537,5463,1334,0,184,5463,1334,4440,1109,1023,544,3381,862,25032,2045,18493,1908,0,184,18493,1908,17139,1892,1354,543,6539,1294,28544,1959,23608,1942,0,184,23608,1942,22507,1881,1101,582,4936,1064,32061,2534,27844,2374,19,31,27825,2372,26749,2256,1076,523,4217,948
29180,"Lafayette, LA Metro Area",148606,1209,20047,2914,12663,2462,0,193,12663,2462,10757,2234,1906,863,7384,1597,49429,3940,37006,3522,48,97,36958,3525,34476,3245,2482,1222,12423,1804,41882,3556,34050,3046,21,37,34029,3039,32042,3037,1987,992,7832,1520,37248,3210,33246,3098,89,149,33157,3065,32561,2950,596,389,4002,937
29340,"Lake Charles, LA Metro Area",103467,985,13321,2201,7469,1621,0,193,7469,1621,5967,1318,1502,609,5852,1266,39849,3092,29359,2765,0,193,29359,2765,27162,2675,2197,934,10490,1326,29670,3016,23190,2565,84,154,23106,2571,21986,2468,1120,505,6480,1250,20627,2084,18239,2060,0,193,18239,2060,17655,2029,584,455,2388,877
29420,"Lake Havasu City-Kingman, AZ Metro Area",99599,1404,18966,2685,8788,1534,0,198,8788,1534,6809,1337,1979,671,10178,2069,34859,3091,21010,2474,0,198,21010,2474,17747,2317,3263,1097,13849,2106,35507,3187,21313,2677,0,198,21313,2677,18623,2420,2690,908,14194,1905,10267,1972,8111,1768,0,198,8111,1768,7174,1750,937,480,2156,861
29460,"Lakeland-Winter Haven, FL Metro Area",302062,699,46284,4498,26414,3289,0,211,26414,3289,22059,2883,4355,1262,19870,2606,107794,5277,74442,4819,0,211,74442,4819,63412,4309,11030,2243,33352,2864,87873,5339,68406,4659,54,89,68352,4669,61079,4534,7273,1287,19467,2265,60111,4400,51014,3812,0,211,51014,3812,48260,3590,2754,907,9097,1671
29540,"Lancaster, PA Metro Area",264864,811,36603,2919,23152,2190,0,165,23152,2190,20509,2186,2643,871,13451,1555,101092,4432,80312,4326,0,165,80312,4326,74510,4241,5802,1347,20780,1920,59134,3849,49810,3593,81,132,49729,3605,47460,3478,2269,755,9324,1352,68035,3256,59308,3103,0,165,59308,3103,57846,2975,1462,524,8727,1424
29620,"Lansing-East Lansing, MI Metro Area",231827,955,14420,1455,8930,1291,0,161,8930,1291,6745,1034,2185,713,5490,960,54049,3237,38577,2757,0,161,38577,2757,33860,2657,4717,918,15472,1709,86623,3618,68862,3694,159,226,68703,3710,63342,3531,5361,1090,17761,1832,76735,3596,64171,3179,0,161,64171,3179,61776,3194,2395,710,12564,1673
29700,"Laredo, TX Metro Area",119294,473,39259,3065,19933,2131,0,206,19933,2131,18772,2010,1161,499,19326,2173,28725,2201,19551,2038,0,206,19551,2038,19011,2067,540,271,9174,1350,29619,2479,23347,2271,0,206,23347,2271,22575,2289,772,432,6272,971,21691,2304,18702,2220,0,206,18702,2220,18358,2160,344,237,2989,810
29740,"Las Cruces, NM Metro Area",102171,775,19220,2734,12802,2380,0,185,12802,2380,10354,2302,2448,1010,6418,1342,23312,2929,16793,2169,57,101,16736,2175,15277,2213,1459,650,6519,1756,30804,2590,23856,2452,102,131,23754,2418,21333,2439,2421,1079,6948,1246,28835,2974,24549,2706,124,191,24425,2707,23464,2600,961,506,4286,1110
