Geography,Estimate; Less than high school graduate: - In labor force:,Estimate; Less than high school graduate: - In labor force: - In Armed Forces,Estimate; Less than high school graduate: - In labor force: - Civilian:,Estimate; Less than high school graduate: - In labor force: - Civilian: - Employed,Estimate; Less than high school graduate: - In labor force: - Civilian: - Unemployed,Estimate; Less than high school graduate: - Not in labor force,Estimate; High school graduate: - In labor force:,Estimate; High school graduate: - In labor force: - In Armed Forces,Estimate; High school graduate: - In labor force: - Civilian:,Estimate; High school graduate: - In labor force: - Civilian: - Employed,Estimate; High school graduate: - In labor force: - Civilian: - Unemployed,Estimate; High school graduate: - Not in labor force
"Abilene, TX Metro Area",6484,0,6484,5347,1137,7336,16331,242,16089,15268,821,8729
"Akron, OH Metro Area",14519,0,14519,11338,3181,12094,91228,0,91228,82462,8766,28828
"Albany, GA Metro Area",7681,0,7681,6202,1479,6008,14339,28,14311,12724,1587,7415
"Albany-Schenectady-Troy, NY Metro Area",16906,0,16906,13148,3758,12125,87217,172,87045,79712,7333,29063
"Albuquerque, NM Metro Area",30718,0,30718,26588,4130,20720,83536,172,83364,75155,8209,35556
"Asheville, NC Metro Area",15196,0,15196,12793,2403,10240,38994,0,38994,34939,4055,18773
"Athens-Clarke County, GA Metro Area",6358,0,6358,5626,732,5394,16112,33,16079,14725,1354,6713
"Atlanta-Sandy Springs-Marietta, GA Metro Area",203131,0,203131,170063,33068,122771,515869,119,515750,453032,62718,181180
"Atlantic City-Hammonton, NJ Metro Area",16913,0,16913,12378,4535,6033,35097,52,35045,29701,5344,9485
"Auburn-Opelika, AL Metro Area",3516,0,3516,3273,243,4450,14150,294,13856,12943,913,4766
"Augusta-Richmond County, GA-SC Metro Area",16935,0,16935,13889,3046,19461,61383,338,61045,55274,5771,26228
"Austin-Round Rock-San Marcos, TX Metro Area",80346,0,80346,71561,8785,36040,147657,280,147377,135853,11524,46502
"Bakersfield-Delano, CA Metro Area",71967,0,71967,59419,12548,43866,73871,81,73790,63974,9816,34037
"Baltimore-Towson, MD Metro Area",73757,0,73757,58833,14924,51739,288268,924,287344,256791,30553,93311
"Bangor, ME Metro Area",2075,0,2075,1858,217,2536,21019,0,21019,19428,1591,9327
"Barnstable Town, MA Metro Area",3337,0,3337,2816,521,2653,18689,103,18586,16639,1947,5239
"Baton Rouge, LA Metro Area",29336,0,29336,25063,4273,20240,107276,230,107046,99988,7058,33746
"Battle Creek, MI Metro Area",3428,0,3428,2865,563,2600,15954,0,15954,12910,3044,6945
"Bay City, MI Metro Area",1983,0,1983,1737,246,2858,12080,0,12080,10336,1744,6896
"Beaumont-Port Arthur, TX Metro Area",15684,0,15684,13267,2417,14198,47186,0,47186,42987,4199,21946
"Bellingham, WA Metro Area",5772,0,5772,5415,357,3569,16757,51,16706,14804,1902,5938
"Bend, OR Metro Area",4525,0,4525,4021,504,1780,15001,0,15001,12858,2143,4649
"Billings, MT Metro Area",2255,0,2255,1799,456,1743,19325,102,19223,18268,955,5106
"Binghamton, NY Metro Area",4572,0,4572,3795,777,3944,28181,0,28181,24913,3268,10489
"Birmingham-Hoover, AL Metro Area",35146,0,35146,29996,5150,33919,106820,0,106820,96676,10144,48644
"Bismarck, ND Metro Area",1173,0,1173,996,177,357,12380,0,12380,11905,475,2961
"Buffalo-Niagara Falls, NY Metro Area",20812,0,20812,17138,3674,20745,115686,0,115686,105319,10367,44086
"Burlington, NC Metro Area",7104,0,7104,6038,1066,4452,16977,0,16977,15507,1470,5551
"Burlington-South Burlington, VT Metro Area",4203,0,4203,3667,536,1989,22732,32,22700,21094,1606,5670
"Canton-Massillon, OH Metro Area",8995,0,8995,7777,1218,7311,57425,0,57425,52290,5135,18124
"Cape Coral-Fort Myers, FL Metro Area",27285,0,27285,23320,3965,15382,72021,0,72021,61876,10145,24373
"Cape Girardeau-Jackson, MO-IL Metro Area",2291,0,2291,1938,353,1599,11623,0,11623,11183,440,5306
"Carson City, NV Metro Area",2920,0,2920,2375,545,2031,4984,0,4984,4300,684,2105
"Casper, WY Metro Area",2366,0,2366,2019,347,892,8048,0,8048,7287,761,2668
"Cedar Rapids, IA Metro Area",4405,0,4405,3439,966,1497,24837,0,24837,23044,1793,7992
"Champaign-Urbana, IL Metro Area",3250,0,3250,2667,583,2419,18634,0,18634,17404,1230,5339
"Charleston, WV Metro Area",6649,0,6649,5880,769,10353,37796,0,37796,35235,2561,21068
"Charleston-North Charleston-Summerville, SC Metro Area",22180,0,22180,18680,3500,15307,66611,503,66108,59366,6742,23433
"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",71325,0,71325,59868,11457,37694,172615,69,172546,153766,18780,56268
"Charlottesville, VA Metro Area",4464,0,4464,4117,347,4818,20443,0,20443,19842,601,5790
"Cleveland, TN Metro Area",4469,0,4469,3481,988,4226,15076,73,15003,12562,2441,6903
"Cleveland-Elyria-Mentor, OH Metro Area",52585,0,52585,40116,12469,45922,225601,180,225421,200238,25183,78293
"Coeur d'Alene, ID Metro Area",2259,0,2259,1690,569,1788,14894,0,14894,12709,2185,6034
"College Station-Bryan, TX Metro Area",11658,0,11658,10450,1208,5225,16246,0,16246,14291,1955,6111
