Geography,Estimate; Some college or associate's degree: - In labor force:,Estimate; Some college or associate's degree: - In labor force: - In Armed Forces,Estimate; Some college or associate's degree: - In labor force: - Civilian:,Estimate; Some college or associate's degree: - In labor force: - Civilian: - Employed,Estimate; Some college or associate's degree: - In labor force: - Civilian: - Unemployed,Estimate; Some college or associate's degree: - Not in labor force,Estimate; Bachelor's degree or higher: - In labor force:,Estimate; Bachelor's degree or higher: - In labor force: - In Armed Forces,Estimate; Bachelor's degree or higher: - In labor force: - Civilian:,Estimate; Bachelor's degree or higher: - In labor force: - Civilian: - Employed,Estimate; Bachelor's degree or higher: - In labor force: - Civilian: - Unemployed,Estimate; Bachelor's degree or higher: - Not in labor force
"Abilene, TX Metro Area",20430,705,19725,18421,1304,5839,13488,579,12909,12770,139,3633
"Akron, OH Metro Area",86994,123,86871,79172,7699,24017,97736,43,97693,94492,3201,13895
"Albany, GA Metro Area",21299,105,21194,18370,2824,6520,12298,247,12051,11493,558,2599
"Albany-Schenectady-Troy, NY Metro Area",126758,756,126002,117400,8602,24532,146744,572,146172,142431,3741,22891
"Albuquerque, NM Metro Area",122337,617,121720,113275,8445,42564,120155,1179,118976,114318,4658,21356
"Alexandria, LA Metro Area",17705,468,17237,16218,1019,6736,12147,99,12048,11963,85,2247
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",105351,23,105328,98521,6807,22048,112551,94,112457,107986,4471,14662
"Anniston-Oxford, AL Metro Area",15059,28,15031,12942,2089,4550,7855,121,7734,7515,219,1951
"Appleton, WI Metro Area",36481,0,36481,35125,1356,6288,34022,0,34022,33382,640,4288
"Asheville, NC Metro Area",59976,192,59784,55616,4168,15584,59231,0,59231,56758,2473,10673
"Athens-Clarke County, GA Metro Area",16994,160,16834,15840,994,5316,27047,0,27047,26316,731,5814
"Atlanta-Sandy Springs-Marietta, GA Metro Area",692888,1550,691338,622432,68906,166654,949286,2257,947029,894417,52612,152310
"Atlantic City-Hammonton, NJ Metro Area",32301,25,32276,28943,3333,5981,33224,402,32822,30868,1954,5769
"Auburn-Opelika, AL Metro Area",14209,491,13718,12663,1055,4542,20348,481,19867,19465,402,4158
"Augusta-Richmond County, GA-SC Metro Area",74053,3462,70591,64622,5969,25823,61856,1588,60268,57623,2645,13202
"Austin-Round Rock-San Marcos, TX Metro Area",240071,801,239270,225882,13388,49668,361361,710,360651,347129,13522,55597
"Bend, OR Metro Area",23976,207,23769,21430,2339,8440,21860,0,21860,20081,1779,6919
"Billings, MT Metro Area",27077,52,27025,26437,588,5657,21715,59,21656,21165,491,2704
"Binghamton, NY Metro Area",33735,0,33735,31692,2043,8657,32669,0,32669,31301,1368,5371
"Birmingham-Hoover, AL Metro Area",151880,183,151697,140271,11426,51806,154699,400,154299,149648,4651,27649
"Bismarck, ND Metro Area",19635,204,19431,18787,644,3150,18642,66,18576,18480,96,2313
"Blacksburg-Christiansburg-Radford, VA Metro Area",16522,0,16522,15294,1228,5101,20318,106,20212,19767,445,4440
"Bloomington, IN Metro Area",21025,0,21025,20077,948,5616,25224,0,25224,23815,1409,5534
"Bloomington-Normal, IL Metro Area",20023,327,19696,18795,901,3244,35133,0,35133,34329,804,4091
"Boise City-Nampa, ID Metro Area",96513,235,96278,88578,7700,26982,87949,146,87803,84310,3493,14601
"Boston-Cambridge-Quincy, MA-NH Metro Area",501407,749,500658,465663,34995,103663,1046048,1442,1044606,1000552,44054,138902
"Boulder, CO Metro Area",31041,47,30994,28967,2027,6649,84640,0,84640,81863,2777,12768
"Bowling Green, KY Metro Area",15935,0,15935,14947,988,3713,13334,0,13334,12830,504,2144
"Bremerton-Silverdale, WA Metro Area",43159,4730,38429,34799,3630,15155,33544,2033,31511,29979,1532,6232
"Bridgeport-Stamford-Norwalk, CT Metro Area",93871,78,93793,84203,9590,19474,209091,110,208981,197929,11052,37406
"Carson City, NV Metro Area",9945,0,9945,9138,807,2064,4290,0,4290,4193,97,1064
"Casper, WY Metro Area",15540,0,15540,15255,285,2590,9356,0,9356,9262,94,962
"Cedar Rapids, IA Metro Area",43563,15,43548,41985,1563,8884,40360,0,40360,39533,827,5296
"Champaign-Urbana, IL Metro Area",26849,41,26808,25576,1232,5298,40629,0,40629,39157,1472,7149
"Charleston, WV Metro Area",33487,62,33425,31975,1450,13944,36361,106,36255,35518,737,4725
"Charleston-North Charleston-Summerville, SC Metro Area",99824,1974,97850,88238,9612,26482,106763,1832,104931,100434,4497,16530
"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",250545,485,250060,226491,23569,57145,311103,540,310563,297529,13034,46251
