Id,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Less than high school graduate:,Margin of Error; Less than high school graduate:,Estimate; Less than high school graduate: - In labor force:,Margin of Error; Less than high school graduate: - In labor force:,Estimate; Less than high school graduate: - In labor force: - In Armed Forces,Margin of Error; Less than high school graduate: - In labor force: - In Armed Forces,Estimate; Less than high school graduate: - In labor force: - Civilian:,Margin of Error; Less than high school graduate: - In labor force: - Civilian:,Estimate; Less than high school graduate: - In labor force: - Civilian: - Employed,Margin of Error; Less than high school graduate: - In labor force: - Civilian: - Employed,Estimate; Less than high school graduate: - In labor force: - Civilian: - Unemployed,Margin of Error; Less than high school graduate: - In labor force: - Civilian: - Unemployed,Estimate; Less than high school graduate: - Not in labor force,Margin of Error; Less than high school graduate: - Not in labor force,Estimate; High school graduate:,Margin of Error; High school graduate:,Estimate; High school graduate: - In labor force:,Margin of Error; High school graduate: - In labor force:,Estimate; High school graduate: - In labor force: - In Armed Forces,Margin of Error; High school graduate: - In labor force: - In Armed Forces,Estimate; High school graduate: - In labor force: - Civilian:,Margin of Error; High school graduate: - In labor force: - Civilian:,Estimate; High school graduate: - In labor force: - Civilian: - Employed,Margin of Error; High school graduate: - In labor force: - Civilian: - Employed,Estimate; High school graduate: - In labor force: - Civilian: - Unemployed,Margin of Error; High school graduate: - In labor force: - Civilian: - Unemployed,Estimate; High school graduate: - Not in labor force,Margin of Error; High school graduate: - Not in labor force,Estimate; Some college or associate's degree:,Margin of Error; Some college or associate's degree:,Estimate; Some college or associate's degree: - In labor force:,Margin of Error; Some college or associate's degree: - In labor force:,Estimate; Some college or associate's degree: - In labor force: - In Armed Forces,Margin of Error; Some college or associate's degree: - In labor force: - In Armed Forces,Estimate; Some college or associate's degree: - In labor force: - Civilian:,Margin of Error; Some college or associate's degree: - In labor force: - Civilian:,Estimate; Some college or associate's degree: - In labor force: - Civilian: - Employed,Margin of Error; Some college or associate's degree: - In labor force: - Civilian: - Employed,Estimate; Some college or associate's degree: - In labor force: - Civilian: - Unemployed,Margin of Error; Some college or associate's degree: - In labor force: - Civilian: - Unemployed,Estimate; Some college or associate's degree: - Not in labor force,Margin of Error; Some college or associate's degree: - Not in labor force,Estimate; Bachelor's degree or higher:,Margin of Error; Bachelor's degree or higher:,Estimate; Bachelor's degree or higher: - In labor force:,Margin of Error; Bachelor's degree or higher: - In labor force:,Estimate; Bachelor's degree or higher: - In labor force: - In Armed Forces,Margin of Error; Bachelor's degree or higher: - In labor force: - In Armed Forces,Estimate; Bachelor's degree or higher: - In labor force: - Civilian:,Margin of Error; Bachelor's degree or higher: - In labor force: - Civilian:,Estimate; Bachelor's degree or higher: - In labor force: - Civilian: - Employed,Margin of Error; Bachelor's degree or higher: - In labor force: - Civilian: - Employed,Estimate; Bachelor's degree or higher: - In labor force: - Civilian: - Unemployed,Margin of Error; Bachelor's degree or higher: - In labor force: - Civilian: - Unemployed,Estimate; Bachelor's degree or higher: - Not in labor force,Margin of Error; Bachelor's degree or higher: - Not in labor force
10180,"Abilene, TX Metro Area",82270,1582,13820,1873,6484,1272,0,206,6484,1272,5347,1070,1137,620,7336,1366,25060,2273,16331,2017,242,230,16089,2007,15268,2047,821,437,8729,1335,26269,2060,20430,2075,705,307,19725,1978,18421,1902,1304,789,5839,1059,17121,1794,13488,1627,579,347,12909,1564,12770,1557,139,137,3633,826
10420,"Akron, OH Metro Area",369311,1080,26613,2972,14519,2048,0,182,14519,2048,11338,1742,3181,982,12094,1975,120056,5351,91228,4194,0,182,91228,4194,82462,4125,8766,1850,28828,3019,111011,4257,86994,3887,123,119,86871,3903,79172,3642,7699,1392,24017,2060,111631,4626,97736,4244,43,70,97693,4241,94492,4200,3201,888,13895,1627
10500,"Albany, GA Metro Area",78159,1072,13689,2238,7681,1645,0,208,7681,1645,6202,1401,1479,905,6008,1154,21754,1689,14339,1433,28,56,14311,1432,12724,1307,1587,638,7415,1270,27819,2214,21299,2015,105,138,21194,2014,18370,1721,2824,751,6520,1146,14897,1703,12298,1634,247,249,12051,1611,11493,1472,558,507,2599,678
10580,"Albany-Schenectady-Troy, NY Metro Area",466236,1818,29031,3211,16906,2415,0,185,16906,2415,13148,1964,3758,1071,12125,1666,116280,4738,87217,4081,172,168,87045,4092,79712,3902,7333,1374,29063,2816,151290,5266,126758,4999,756,367,126002,5036,117400,4846,8602,1613,24532,2581,169635,5509,146744,5174,572,510,146172,5083,142431,5036,3741,887,22891,1945
10740,"Albuquerque, NM Metro Area",476942,1656,51438,3778,30718,3015,0,185,30718,3015,26588,2984,4130,1110,20720,2151,119092,5832,83536,5036,172,159,83364,5059,75155,4352,8209,1825,35556,3180,164901,6677,122337,6089,617,293,121720,6040,113275,5529,8445,1810,42564,4068,141511,5763,120155,5273,1179,623,118976,5222,114318,5071,4658,986,21356,2336
10780,"Alexandria, LA Metro Area",79560,598,11747,1561,5150,1114,0,193,5150,1114,4691,1077,459,268,6597,1310,28978,1980,19536,2203,0,193,19536,2203,17533,2000,2003,696,9442,1210,24441,2246,17705,2042,468,466,17237,2084,16218,2003,1019,489,6736,1146,14394,1714,12147,1763,99,157,12048,1784,11963,1768,85,87,2247,662
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",436689,1481,34860,2661,23429,2338,0,184,23429,2338,19317,2238,4112,919,11431,1574,147217,5315,112312,4898,77,130,112235,4901,103317,4792,8918,1373,34905,3166,127399,4350,105351,4266,23,40,105328,4265,98521,4158,6807,1253,22048,2042,127213,4979,112551,4509,94,135,112457,4517,107986,4499,4471,898,14662,1657
11020,"Altoona, PA Metro Area",65677,463,4260,909,1964,684,0,165,1964,684,1565,633,399,261,2296,681,31792,1614,23744,1645,0,165,23744,1645,22367,1635,1377,486,8048,998,15933,1519,12272,1384,40,67,12232,1368,11255,1328,977,467,3661,763,13692,1365,11743,1296,0,165,11743,1296,11443,1273,300,227,1949,608
11100,"Amarillo, TX Metro Area",129504,1321,21172,2326,12864,1620,0,206,12864,1620,12323,1594,541,392,8308,1613,31938,2886,23043,2407,0,206,23043,2407,21985,2428,1058,631,8895,1694,48058,2956,37277,2775,30,54,37247,2769,35824,2775,1423,707,10781,1410,28336,2834,24642,2406,45,59,24597,2404,24197,2434,400,263,3694,927
11180,"Ames, IA Metro Area",38731,1036,1557,692,1059,544,0,151,1059,544,1048,541,11,19,498,436,5706,1292,4407,1126,0,151,4407,1126,4299,1117,108,126,1299,507,11167,1309,9434,1217,12,20,9422,1216,9254,1229,168,182,1733,507,20301,1600,18138,1560,33,54,18105,1566,17403,1575,702,487,2163,563
